config,layer_type,activation,pooling,num_layers,hidden_dim,dropout,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std
f_tanh_sum_L2_H64_D0.5_lr0.01,f,tanh,sum,2,64,0.5,0.8421052631578947,0.0,0.8070175438596491,0.049621528504319126,0.785777957951871,0.04375650915378232
f_tanh_mean_L2_H64_D0.5_lr0.01,f,tanh,mean,2,64,0.5,0.8245614035087719,0.024810764252159535,0.7719298245614036,0.024810764252159587,0.7550462822201952,0.024290833621783487
f_tanh_sum_L3_H128_D0.5_lr0.01,f,tanh,sum,3,128,0.5,0.8245614035087718,0.10814761408717499,0.7543859649122807,0.06564311204866562,0.6461858974358974,0.1762473217537731
g_relu_sum_L2_H64_D0.5_lr0.01,g,relu,sum,2,64,0.5,0.7894736842105262,1.1102230246251565e-16,0.7368421052631579,0.0,0.6107054236086494,0.06858008342170836
g_tanh_sum_L3_H64_D0.5_lr0.01,g,tanh,sum,3,64,0.5,0.7894736842105262,1.1102230246251565e-16,0.7719298245614036,0.06564311204866562,0.6964970214970215,0.12308772688411344
g_relu_sum_L2_H128_D0.5_lr0.01,g,relu,sum,2,128,0.5,0.7719298245614036,0.024810764252159587,0.7192982456140351,0.024810764252159532,0.5102246543778802,0.07352118318212661
g_relu_mean_L3_H128_D0.5_lr0.01,g,relu,mean,3,128,0.5,0.7719298245614036,0.024810764252159587,0.6666666666666666,0.049621528504319126,0.5628450731899007,0.10242246175276996
g_tanh_sum_L2_H128_D0.5_lr0.01,g,tanh,sum,2,128,0.5,0.7719298245614036,0.024810764252159587,0.7543859649122807,0.024810764252159587,0.6761469692504175,0.0567547146310452
g_relu_sum_L3_H64_D0.5_lr0.01,g,relu,sum,3,64,0.5,0.7719298245614036,0.024810764252159587,0.7543859649122808,0.04962152850431912,0.6792735042735044,0.10908784102920661
g_tanh_mean_L3_H64_D0.5_lr0.01,g,tanh,mean,3,64,0.5,0.7719298245614036,0.024810764252159587,0.6842105263157895,0.0,0.5702380952380952,0.03198816391081989
g_tanh_mean_L2_H128_D0.5_lr0.01,g,tanh,mean,2,128,0.5,0.7543859649122807,0.024810764252159587,0.7017543859649122,0.024810764252159535,0.6072432037949279,0.02034496248734153
f_relu_sum_L3_H64_D0.5_lr0.01,f,relu,sum,3,64,0.5,0.7543859649122807,0.024810764252159587,0.8070175438596491,0.024810764252159535,0.7791452991452991,0.032152205777029305
f_relu_sum_L3_H128_D0.5_lr0.01,f,relu,sum,3,128,0.5,0.7543859649122807,0.024810764252159587,0.7368421052631579,0.085947008518708,0.625749607373634,0.14364114524505084
g_relu_mean_L2_H128_D0.5_lr0.01,g,relu,mean,2,128,0.5,0.7543859649122807,0.024810764252159587,0.6842105263157895,0.042973504259354,0.5003463606286187,0.14682408484873274
g_tanh_mean_L2_H64_D0.5_lr0.01,g,tanh,mean,2,64,0.5,0.7543859649122807,0.024810764252159587,0.7017543859649122,0.024810764252159532,0.6219496552829885,0.04114302563613892
g_relu_mean_L3_H64_D0.5_lr0.01,g,relu,mean,3,64,0.5,0.7543859649122807,0.024810764252159587,0.7192982456140351,0.049621528504319126,0.5851724664224663,0.143055564918562
g_relu_sum_L3_H128_D0.5_lr0.01,g,relu,sum,3,128,0.5,0.7543859649122807,0.024810764252159587,0.7192982456140351,0.08945648269461025,0.5682507546731684,0.17303188412706574
g_relu_mean_L2_H64_D0.5_lr0.01,g,relu,mean,2,64,0.5,0.7368421052631579,0.0,0.6842105263157895,0.0,0.5306547619047618,0.08796745075475494
g_tanh_sum_L2_H64_D0.5_lr0.01,g,tanh,sum,2,64,0.5,0.7368421052631579,0.0,0.7894736842105262,1.1102230246251565e-16,0.6833333333333332,1.1102230246251565e-16
f_relu_sum_L2_H128_D0.5_lr0.01,f,relu,sum,2,128,0.5,0.7192982456140351,0.024810764252159535,0.7543859649122807,0.06564311204866562,0.5976924553940682,0.17262975173928194
